Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Age_Band,Screen_Time_Level,Exceeded_Limit,Health_Risk_Flag
15,Male,3.57,Smartphone,True,0.32,"Poor Sleep, Obesity Risk",Rural,14–18,Moderate,False,False
12,Female,3.77,Laptop,True,0.48,Poor Sleep,Rural,10–13,Moderate,False,False
17,Female,4.73,Smartphone,True,0.47,Poor Sleep,Urban,14–18,High,True,True
14,Male,5.76,Tablet,True,0.4,Poor Sleep,Urban,14–18,High,True,True
16,Female,3.93,Smartphone,True,0.39,Poor Sleep,Rural,14–18,Moderate,False,False
14,Male,4.61,TV,True,0.31,Obesity Risk,Urban,14–18,High,True,True
16,Male,5.67,TV,True,0.49,Poor Sleep,Urban,14–18,High,True,True
15,Female,4.51,Laptop,True,0.4,Poor Sleep,Urban,14–18,High,True,True
14,Female,6.1,Smartphone,True,0.47,Poor Sleep,Rural,14–18,Very High,True,True
15,Male,5.61,Smartphone,True,0.39,Obesity Risk,Urban,14–18,High,True,True
10,Male,6.86,TV,True,0.56,Poor Sleep,Urban,10–13,Very High,True,True
15,Female,3.78,Laptop,True,0.31,Poor Sleep,Rural,14–18,Moderate,False,False
13,Male,4.67,Smartphone,True,0.44,"Anxiety, Obesity Risk",Urban,10–13,High,True,True
18,Male,3.25,Tablet,True,0.45,"Poor Sleep, Eye Strain",Rural,14–18,Moderate,False,False
8,Male,5.22,Smartphone,True,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban,0–9,High,True,True
12,Male,6.06,Smartphone,True,0.43,Eye Strain,Urban,10–13,Very High,True,True
12,Male,4.37,Laptop,True,0.46,Eye Strain,Rural,10–13,High,True,True
17,Male,4.16,Laptop,True,0.31,Poor Sleep,Rural,14–18,High,True,True
14,Female,3.91,Laptop,True,0.39,Eye Strain,Urban,14–18,Moderate,False,False
14,Male,4.54,Laptop,True,0.41,Poor Sleep,Urban,14–18,High,True,True
18,Female,4.59,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Rural,14–18,High,True,True
17,Male,6.78,Smartphone,True,0.49,Poor Sleep,Urban,14–18,Very High,True,True
17,Female,4.19,TV,True,0.48,Obesity Risk,Rural,14–18,High,True,True
10,Female,3.27,TV,True,0.48,"Poor Sleep, Eye Strain",Rural,10–13,Moderate,False,False
14,Male,6.01,Tablet,True,0.34,"Poor Sleep, Eye Strain",Urban,14–18,Very High,True,True
8,Female,4.74,Smartphone,True,0.5,"Eye Strain, Obesity Risk",Urban,0–9,High,True,True
11,Female,3.42,Smartphone,True,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban,10–13,Moderate,False,False
11,Female,5.47,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,10–13,High,True,True
12,Female,6.28,Smartphone,True,0.32,Poor Sleep,Rural,10–13,Very High,True,True
14,Male,3.26,Smartphone,True,0.46,"Poor Sleep, Anxiety",Urban,14–18,Moderate,False,False
14,Male,6.06,Smartphone,True,0.38,Anxiety,Urban,14–18,Very High,True,True
18,Female,4.67,TV,True,0.32,Poor Sleep,Urban,14–18,High,True,True
14,Female,6.7,Smartphone,True,0.3,"Poor Sleep, Eye Strain",Urban,14–18,Very High,True,True
13,Male,5.24,Smartphone,True,0.43,Poor Sleep,Urban,10–13,High,True,True
17,Female,5.14,Smartphone,True,0.36,Poor Sleep,Urban,14–18,High,True,True
16,Female,3.7,Tablet,True,0.33,Eye Strain,Urban,14–18,Moderate,False,False
12,Male,4.79,TV,True,0.32,Poor Sleep,Urban,10–13,High,True,True
13,Male,3.3,Tablet,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Rural,10–13,Moderate,False,False
11,Female,5.97,Smartphone,True,0.5,Poor Sleep,Urban,10–13,High,True,True
18,Female,3.05,Smartphone,True,0.37,"Eye Strain, Anxiety, Obesity Risk",Urban,14–18,Moderate,False,False
17,Female,5.18,Smartphone,True,0.42,Eye Strain,Urban,14–18,High,True,True
14,Female,3.66,Laptop,True,0.33,"Poor Sleep, Eye Strain",Urban,14–18,Moderate,False,False
8,Female,4.84,Smartphone,True,0.54,Poor Sleep,Urban,0–9,High,True,True
16,Female,4.6,Smartphone,True,0.4,Poor Sleep,Urban,14–18,High,True,True
18,Female,4.06,Smartphone,True,0.44,Poor Sleep,Urban,14–18,High,True,True
11,Female,4.21,TV,True,0.3,"Poor Sleep, Eye Strain, Anxiety, Obesity Risk",Rural,10–13,High,True,True
16,Female,7.07,Laptop,True,0.36,Poor Sleep,Urban,14–18,Very High,True,True
14,Female,4.06,Smartphone,True,0.42,Poor Sleep,Urban,14–18,High,True,True
18,Female,6.59,Laptop,True,0.39,Poor Sleep,Rural,14–18,Very High,True,True
16,Male,5.6,Laptop,True,0.4,Poor Sleep,Rural,14–18,High,True,True
12,Male,5.32,Laptop,True,0.31,Poor Sleep,Urban,10–13,High,True,True
8,Male,4.82,TV,True,0.51,"Poor Sleep, Eye Strain, Anxiety",Rural,0–9,High,True,True
10,Male,3.69,TV,True,0.56,Poor Sleep,Urban,10–13,Moderate,False,False
17,Male,4.17,TV,True,0.39,Poor Sleep,Urban,14–18,High,True,True
15,Male,4.09,TV,True,0.35,"Poor Sleep, Anxiety",Urban,14–18,High,True,True
18,Male,5.83,Smartphone,True,0.39,Anxiety,Rural,14–18,High,True,True
13,Female,4.74,Laptop,True,0.44,Poor Sleep,Rural,10–13,High,True,True
15,Female,4.01,TV,True,0.39,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
11,Female,4.94,Smartphone,True,0.45,Poor Sleep,Urban,10–13,High,True,True
8,Male,4.15,TV,True,0.59,Eye Strain,Rural,0–9,High,True,True
17,Female,4.75,Tablet,True,0.37,Obesity Risk,Rural,14–18,High,True,True
14,Male,3.2,Smartphone,True,0.4,"Poor Sleep, Obesity Risk",Urban,14–18,Moderate,False,False
9,Male,5.72,Smartphone,True,0.51,Eye Strain,Urban,0–9,High,True,True
8,Female,4.73,Tablet,True,0.42,"Poor Sleep, Anxiety",Urban,0–9,High,True,True
8,Female,7.74,Tablet,True,0.5,Poor Sleep,Urban,0–9,Very High,True,True
15,Female,5.08,Smartphone,True,0.33,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
18,Male,5.12,Smartphone,True,0.46,"Poor Sleep, Eye Strain, Obesity Risk",Rural,14–18,High,True,True
8,Male,6.34,TV,True,0.51,Poor Sleep,Urban,0–9,Very High,True,True
9,Female,5.05,Smartphone,True,0.58,Poor Sleep,Urban,0–9,High,True,True
13,Male,5.49,Smartphone,True,0.45,Poor Sleep,Urban,10–13,High,True,True
14,Female,4.51,Laptop,True,0.36,Poor Sleep,Urban,14–18,High,True,True
8,Male,6.29,Tablet,True,0.49,Poor Sleep,Urban,0–9,Very High,True,True
10,Female,4.53,TV,True,0.47,Poor Sleep,Urban,10–13,High,True,True
13,Female,4.49,Smartphone,True,0.41,"Poor Sleep, Anxiety",Urban,10–13,High,True,True
11,Male,3.74,Smartphone,True,0.42,"Eye Strain, Anxiety",Rural,10–13,Moderate,False,False
14,Female,3.82,Tablet,True,0.46,Poor Sleep,Urban,14–18,Moderate,False,False
18,Female,6.53,TV,True,0.43,Poor Sleep,Urban,14–18,Very High,True,True
15,Female,4.54,Laptop,True,0.46,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
13,Male,4.44,Smartphone,True,0.39,Poor Sleep,Urban,10–13,High,True,True
12,Female,3.65,Tablet,True,0.4,Eye Strain,Urban,10–13,Moderate,False,False
11,Male,3.85,Laptop,True,0.31,"Poor Sleep, Eye Strain, Obesity Risk",Urban,10–13,Moderate,False,False
13,Male,3.65,Laptop,True,0.37,"Poor Sleep, Eye Strain",Rural,10–13,Moderate,False,False
13,Female,5.78,TV,True,0.43,"Poor Sleep, Obesity Risk",Rural,10–13,High,True,True
16,Male,4.17,Smartphone,True,0.36,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
18,Male,3.98,Laptop,True,0.37,Poor Sleep,Urban,14–18,Moderate,False,False
10,Female,6.63,TV,True,0.54,"Poor Sleep, Eye Strain",Urban,10–13,Very High,True,True
18,Female,5.84,Smartphone,True,0.43,Eye Strain,Urban,14–18,High,True,True
11,Male,4.78,Smartphone,True,0.39,"Poor Sleep, Anxiety",Rural,10–13,High,True,True
10,Male,4.13,Smartphone,True,0.4,Poor Sleep,Urban,10–13,High,True,True
17,Male,3.67,Smartphone,True,0.34,Poor Sleep,Urban,14–18,Moderate,False,False
10,Male,3.02,TV,True,0.46,"Poor Sleep, Obesity Risk",Rural,10–13,Moderate,False,False
11,Female,4.16,Laptop,True,0.36,"Anxiety, Obesity Risk",Urban,10–13,High,True,True
14,Male,3.9,TV,True,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Urban,14–18,Moderate,False,False
16,Male,6.23,Smartphone,True,0.47,Obesity Risk,Rural,14–18,Very High,True,True
15,Male,4.88,Smartphone,True,0.34,"Poor Sleep, Obesity Risk",Urban,14–18,High,True,True
8,Male,5.36,Tablet,True,0.56,Poor Sleep,Urban,0–9,High,True,True
16,Male,4.47,TV,True,0.43,"Poor Sleep, Eye Strain, Anxiety",Urban,14–18,High,True,True
16,Female,5.91,TV,True,0.38,Anxiety,Rural,14–18,High,True,True
14,Female,4.13,Smartphone,True,0.49,"Poor Sleep, Eye Strain, Obesity Risk",Rural,14–18,High,True,True
14,Female,3.27,Tablet,True,0.45,"Poor Sleep, Obesity Risk",Urban,14–18,Moderate,False,False
16,Female,4.14,Smartphone,True,0.41,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
11,Female,3.82,Laptop,True,0.5,"Eye Strain, Anxiety",Urban,10–13,Moderate,False,False
8,Female,4.69,Smartphone,True,0.59,Poor Sleep,Urban,0–9,High,True,True
8,Male,3.28,Tablet,True,0.46,Anxiety,Rural,0–9,Moderate,False,False
12,Male,3.94,TV,True,0.44,Poor Sleep,Urban,10–13,Moderate,False,False
18,Female,5.16,Smartphone,True,0.47,Poor Sleep,Urban,14–18,High,True,True
16,Female,3.73,Laptop,True,0.34,"Poor Sleep, Eye Strain, Anxiety",Rural,14–18,Moderate,False,False
16,Male,5.77,Laptop,True,0.41,"Eye Strain, Anxiety",Urban,14–18,High,True,True
10,Female,6.58,TV,True,0.52,Poor Sleep,Rural,10–13,Very High,True,True
10,Male,3.2,Smartphone,True,0.55,"Poor Sleep, Eye Strain",Urban,10–13,Moderate,False,False
15,Male,4.26,Smartphone,True,0.42,"Poor Sleep, Eye Strain, Anxiety",Urban,14–18,High,True,True
13,Male,8.24,TV,True,0.4,Poor Sleep,Urban,10–13,Very High,True,True
15,Male,3.85,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Urban,14–18,Moderate,False,False
8,Female,4.92,Tablet,True,0.59,"Poor Sleep, Anxiety",Urban,0–9,High,True,True
15,Female,4.32,Smartphone,True,0.33,Poor Sleep,Urban,14–18,High,True,True
11,Male,3.71,Smartphone,True,0.4,Poor Sleep,Urban,10–13,Moderate,False,False
15,Female,6.56,Smartphone,True,0.33,"Poor Sleep, Eye Strain",Urban,14–18,Very High,True,True
16,Female,3.12,Smartphone,True,0.44,Eye Strain,Urban,14–18,Moderate,False,False
16,Male,3.96,Smartphone,True,0.37,Poor Sleep,Urban,14–18,Moderate,False,False
9,Male,4.29,Tablet,True,0.53,Poor Sleep,Urban,0–9,High,True,True
13,Male,4.46,Laptop,True,0.45,"Poor Sleep, Anxiety",Urban,10–13,High,True,True
11,Female,5.3,Tablet,True,0.33,"Poor Sleep, Eye Strain",Urban,10–13,High,True,True
8,Female,9.35,Smartphone,True,0.55,Anxiety,Rural,0–9,Very High,True,True
12,Male,3.97,Smartphone,True,0.36,Poor Sleep,Rural,10–13,Moderate,False,False
15,Male,4.88,Laptop,True,0.43,Eye Strain,Rural,14–18,High,True,True
15,Female,5.48,Smartphone,True,0.42,"Eye Strain, Anxiety",Urban,14–18,High,True,True
10,Male,5.99,TV,True,0.4,"Poor Sleep, Eye Strain",Urban,10–13,High,True,True
18,Male,3.91,Laptop,True,0.43,"Poor Sleep, Eye Strain",Rural,14–18,Moderate,False,False
10,Female,8.74,Tablet,True,0.56,Poor Sleep,Urban,10–13,Very High,True,True
13,Female,7.85,TV,True,0.43,"Poor Sleep, Eye Strain",Rural,10–13,Very High,True,True
14,Female,5.76,Smartphone,True,0.35,"Poor Sleep, Anxiety, Obesity Risk",Urban,14–18,High,True,True
13,Female,3.37,Smartphone,True,0.46,Anxiety,Rural,10–13,Moderate,False,False
13,Female,4.11,Laptop,True,0.37,Poor Sleep,Urban,10–13,High,True,True
13,Male,4.06,Smartphone,True,0.44,Poor Sleep,Urban,10–13,High,True,True
15,Male,3.83,Smartphone,True,0.42,Poor Sleep,Urban,14–18,Moderate,False,False
18,Male,4.13,Smartphone,True,0.33,Poor Sleep,Rural,14–18,High,True,True
18,Female,3.99,Smartphone,True,0.41,Eye Strain,Rural,14–18,Moderate,False,False
12,Male,3.54,TV,True,0.34,"Poor Sleep, Eye Strain",Urban,10–13,Moderate,False,False
8,Male,5.51,Smartphone,True,0.6,"Poor Sleep, Obesity Risk",Rural,0–9,High,True,True
12,Male,4.68,Tablet,True,0.42,"Poor Sleep, Eye Strain, Obesity Risk",Urban,10–13,High,True,True
10,Male,4.05,TV,True,0.42,Poor Sleep,Urban,10–13,High,True,True
11,Female,3.97,Smartphone,True,0.36,Eye Strain,Rural,10–13,Moderate,False,False
10,Male,9.2,Smartphone,True,0.48,Eye Strain,Urban,10–13,Very High,True,True
12,Female,3.15,Tablet,True,0.38,"Poor Sleep, Anxiety",Urban,10–13,Moderate,False,False
12,Male,4.46,Laptop,True,0.3,Poor Sleep,Urban,10–13,High,True,True
15,Male,5.57,Smartphone,True,0.44,Eye Strain,Rural,14–18,High,True,True
8,Male,6.76,Tablet,True,0.48,"Poor Sleep, Eye Strain",Urban,0–9,Very High,True,True
12,Male,5.69,Smartphone,True,0.43,"Poor Sleep, Eye Strain, Obesity Risk",Urban,10–13,High,True,True
11,Male,3.35,Smartphone,True,0.44,Poor Sleep,Rural,10–13,Moderate,False,False
12,Male,5.82,TV,True,0.45,"Poor Sleep, Eye Strain, Anxiety",Urban,10–13,High,True,True
14,Male,5.09,TV,True,0.43,Poor Sleep,Urban,14–18,High,True,True
8,Female,5.49,TV,True,0.46,"Poor Sleep, Obesity Risk",Rural,0–9,High,True,True
10,Male,4.1,Tablet,True,0.45,"Poor Sleep, Obesity Risk",Urban,10–13,High,True,True
9,Male,6.83,Smartphone,True,0.56,"Poor Sleep, Eye Strain",Rural,0–9,Very High,True,True
13,Male,4.78,Smartphone,True,0.46,"Poor Sleep, Anxiety",Urban,10–13,High,True,True
10,Male,6.33,Tablet,True,0.5,Poor Sleep,Urban,10–13,Very High,True,True
15,Male,3.14,TV,True,0.37,Anxiety,Urban,14–18,Moderate,False,False
15,Male,5.56,Laptop,True,0.31,"Poor Sleep, Obesity Risk",Urban,14–18,High,True,True
9,Male,3.11,Smartphone,True,0.47,Anxiety,Urban,0–9,Moderate,False,False
13,Male,4.9,TV,True,0.38,"Poor Sleep, Obesity Risk",Urban,10–13,High,True,True
14,Male,6.39,Tablet,True,0.4,"Poor Sleep, Anxiety",Urban,14–18,Very High,True,True
17,Female,5.12,Smartphone,True,0.3,Poor Sleep,Urban,14–18,High,True,True
17,Female,5.34,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
8,Male,7.91,Smartphone,True,0.58,Poor Sleep,Urban,0–9,Very High,True,True
15,Female,4.46,Tablet,True,0.32,"Poor Sleep, Eye Strain",Rural,14–18,High,True,True
16,Male,4.92,Smartphone,True,0.47,Poor Sleep,Rural,14–18,High,True,True
18,Male,4.64,Smartphone,True,0.46,Poor Sleep,Urban,14–18,High,True,True
13,Male,3.55,TV,True,0.34,"Poor Sleep, Eye Strain",Rural,10–13,Moderate,False,False
14,Female,5.04,Smartphone,True,0.38,Poor Sleep,Urban,14–18,High,True,True
14,Male,4.64,Smartphone,True,0.44,"Poor Sleep, Anxiety",Rural,14–18,High,True,True
17,Female,4.68,Tablet,True,0.38,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
10,Female,6.09,TV,True,0.47,"Eye Strain, Anxiety, Obesity Risk",Rural,10–13,Very High,True,True
9,Female,4.12,Smartphone,True,0.47,"Poor Sleep, Eye Strain",Rural,0–9,High,True,True
16,Female,5.29,TV,True,0.5,Anxiety,Rural,14–18,High,True,True
15,Male,4.03,Smartphone,True,0.38,Poor Sleep,Rural,14–18,High,True,True
17,Male,5.44,Laptop,True,0.36,"Eye Strain, Anxiety",Urban,14–18,High,True,True
11,Female,3.28,Smartphone,True,0.36,Poor Sleep,Urban,10–13,Moderate,False,False
11,Female,4.39,Smartphone,True,0.37,Poor Sleep,Urban,10–13,High,True,True
14,Male,3.82,Smartphone,True,0.31,Poor Sleep,Urban,14–18,Moderate,False,False
9,Male,3.21,Smartphone,True,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban,0–9,Moderate,False,False
14,Female,5.15,Tablet,True,0.36,"Poor Sleep, Eye Strain, Anxiety",Urban,14–18,High,True,True
13,Male,4.86,Smartphone,True,0.48,"Eye Strain, Obesity Risk",Urban,10–13,High,True,True
10,Male,5.88,TV,True,0.41,Anxiety,Urban,10–13,High,True,True
16,Male,4.29,Tablet,True,0.46,Poor Sleep,Urban,14–18,High,True,True
17,Male,6.13,TV,True,0.39,Eye Strain,Urban,14–18,Very High,True,True
17,Female,6.49,TV,True,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Rural,14–18,Very High,True,True
17,Male,4.61,Laptop,True,0.33,Poor Sleep,Urban,14–18,High,True,True
8,Male,4.31,TV,True,0.46,Eye Strain,Urban,0–9,High,True,True
11,Male,4.55,TV,True,0.43,"Poor Sleep, Eye Strain",Rural,10–13,High,True,True
17,Male,4.76,Smartphone,True,0.46,"Poor Sleep, Obesity Risk",Urban,14–18,High,True,True
13,Female,4.08,Smartphone,True,0.39,Obesity Risk,Urban,10–13,High,True,True
13,Female,5.54,TV,True,0.42,Poor Sleep,Rural,10–13,High,True,True
12,Female,4.05,Smartphone,True,0.42,Poor Sleep,Urban,10–13,High,True,True
8,Female,7.57,Smartphone,True,0.57,Poor Sleep,Urban,0–9,Very High,True,True
15,Female,4.55,Smartphone,True,0.43,"Poor Sleep, Eye Strain",Rural,14–18,High,True,True
12,Male,3.13,Smartphone,True,0.33,"Poor Sleep, Eye Strain",Urban,10–13,Moderate,False,False
12,Female,4.26,TV,True,0.49,"Poor Sleep, Eye Strain",Rural,10–13,High,True,True
14,Male,4.28,TV,True,0.47,Poor Sleep,Urban,14–18,High,True,True
11,Female,5.24,Smartphone,True,0.32,Poor Sleep,Urban,10–13,High,True,True
13,Male,3.75,Tablet,True,0.36,Anxiety,Urban,10–13,Moderate,False,False
11,Male,4.54,Laptop,True,0.37,Eye Strain,Rural,10–13,High,True,True
14,Male,5.67,Smartphone,True,0.35,"Poor Sleep, Eye Strain",Rural,14–18,High,True,True
15,Female,3.91,Laptop,True,0.49,Poor Sleep,Rural,14–18,Moderate,False,False
11,Female,4.55,Laptop,True,0.49,Poor Sleep,Rural,10–13,High,True,True
9,Male,11.18,Tablet,True,0.52,Eye Strain,Rural,0–9,Very High,True,True
17,Female,7.29,Laptop,True,0.49,Poor Sleep,Rural,14–18,Very High,True,True
10,Male,3.23,Tablet,True,0.58,Poor Sleep,Urban,10–13,Moderate,False,False
17,Female,4.71,Smartphone,True,0.39,Eye Strain,Urban,14–18,High,True,True
14,Male,3.41,TV,True,0.35,"Poor Sleep, Anxiety",Urban,14–18,Moderate,False,False
17,Female,5.22,Smartphone,True,0.37,"Poor Sleep, Eye Strain",Urban,14–18,High,True,True
12,Female,3.67,Smartphone,True,0.33,"Poor Sleep, Anxiety",Rural,10–13,Moderate,False,False
17,Female,5.45,Tablet,True,0.41,"Eye Strain, Anxiety",Urban,14–18,High,True,True
12,Female,3.6,Laptop,True,0.48,"Poor Sleep, Eye Strain",Rural,10–13,Moderate,False,False
14,Female,4.36,Smartphone,True,0.46,Poor Sleep,Urban,14–18,High,True,True
16,Male,4.51,Smartphone,True,0.46,Anxiety,Rural,14–18,High,True,True
12,Male,5.6,Laptop,True,0.47,Obesity Risk,Urban,10–13,High,True,True
8,Male,4.1,Smartphone,True,0.53,"Poor Sleep, Eye Strain",Urban,0–9,High,True,True
8,Female,7.78,TV,True,0.5,Poor Sleep,Rural,0–9,Very High,True,True
9,Male,5.32,TV,True,0.42,Eye Strain,Urban,0–9,High,True,True
16,Female,5.2,Tablet,True,0.4,Poor Sleep,Rural,14–18,High,True,True
15,Female,5.02,TV,True,0.35,Poor Sleep,Urban,14–18,High,True,True
12,Female,4.52,TV,True,0.37,Poor Sleep,Urban,10–13,High,True,True
14,Female,4.91,Smartphone,True,0.4,Obesity Risk,Urban,14–18,High,True,True
12,Male,4.97,Laptop,True,0.32,"Poor Sleep, Anxiety",Rural,10–13,High,True,True
14,Male,5.77,Laptop,True,0.42,Poor Sleep,Rural,14–18,High,True,True
10,Female,6.68,Smartphone,True,0.42,Poor Sleep,Urban,10–13,Very High,True,True
10,Female,9.33,Tablet,True,0.41,Poor Sleep,Rural,10–13,Very High,True,True
12,Male,4.95,Smartphone,True,0.46,Poor Sleep,Urban,10–13,High,True,True
13,Male,4.66,Smartphone,True,0.48,Poor Sleep,Urban,10–13,High,True,True
16,Male,3.47,TV,True,0.39,"Poor Sleep, Eye Strain",Urban,14–18,Moderate,False,False
12,Male,4.58,Smartphone,True,0.49,Obesity Risk,Urban,10–13,High,True,True
12,Male,5.47,Smartphone,True,0.33,Eye Strain,Urban,10–13,High,True,True
17,Female,4.88,TV,True,0.37,Poor Sleep,Urban,14–18,High,True,True
