Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural
15,Male,5.56,Laptop,TRUE,0.31,"Poor Sleep, Obesity Risk",Urban
9,Male,3.11,Smartphone,TRUE,0.47,Anxiety,Urban
13,Male,4.9,TV,TRUE,0.38,"Poor Sleep, Obesity Risk",Urban
14,Male,6.39,Tablet,TRUE,0.4,"Poor Sleep, Anxiety",Urban
9,Male,1.38,Smartphone,FALSE,0.52,None,Urban
18,Male,7.75,Tablet,TRUE,0.34,None,Urban
17,Female,5.12,Smartphone,TRUE,0.3,Poor Sleep,Urban
9,Female,2.31,Smartphone,TRUE,0.59,None,Urban
17,Female,5.34,Smartphone,TRUE,0.47,"Poor Sleep, Eye Strain",Urban
8,Male,7.91,Smartphone,TRUE,0.58,Poor Sleep,Urban
15,Female,4.46,Tablet,TRUE,0.32,"Poor Sleep, Eye Strain",Rural
8,Male,2.02,Smartphone,TRUE,0.57,None,Urban
16,Male,4.92,Smartphone,TRUE,0.47,Poor Sleep,Rural
18,Male,4.64,Smartphone,TRUE,0.46,Poor Sleep,Urban
13,Male,3.55,TV,TRUE,0.34,"Poor Sleep, Eye Strain",Rural
14,Female,5.04,Smartphone,TRUE,0.38,Poor Sleep,Urban
17,Male,2.91,Tablet,FALSE,0.34,None,Rural
14,Male,4.64,Smartphone,TRUE,0.44,"Poor Sleep, Anxiety",Rural
17,Female,4.68,Tablet,TRUE,0.38,"Poor Sleep, Eye Strain",Urban
10,Female,6.09,TV,TRUE,0.47,"Eye Strain, Anxiety, Obesity Risk",Rural
9,Female,4.12,Smartphone,TRUE,0.47,"Poor Sleep, Eye Strain",Rural
16,Female,5.29,TV,TRUE,0.5,Anxiety,Rural
15,Male,4.03,Smartphone,TRUE,0.38,Poor Sleep,Rural
17,Male,5.44,Laptop,TRUE,0.36,"Eye Strain, Anxiety",Urban
14,Male,4.94,Smartphone,TRUE,0.41,None,Urban
16,Female,3.95,Laptop,TRUE,0.41,None,Urban
11,Female,3.28,Smartphone,TRUE,0.36,Poor Sleep,Urban
11,Female,4.39,Smartphone,TRUE,0.37,Poor Sleep,Urban
8,Female,1.87,Smartphone,FALSE,0.59,None,Urban
15,Male,3.07,Smartphone,TRUE,0.46,None,Urban
10,Male,0.96,TV,FALSE,0.54,None,Urban
14,Male,3.82,Smartphone,TRUE,0.31,Poor Sleep,Urban
9,Female,0.26,TV,FALSE,0.55,None,Rural
9,Male,3.21,Smartphone,TRUE,0.45,"Poor Sleep, Eye Strain, Obesity Risk",Urban
14,Female,5.15,Tablet,TRUE,0.36,"Poor Sleep, Eye Strain, Anxiety",Urban
13,Male,4.86,Smartphone,TRUE,0.48,"Eye Strain, Obesity Risk",Urban
10,Male,5.88,TV,TRUE,0.41,Anxiety,Urban
16,Male,4.29,Tablet,TRUE,0.46,Poor Sleep,Urban
17,Male,6.13,TV,TRUE,0.39,Eye Strain,Urban
13,Female,4.53,Laptop,TRUE,0.5,None,Urban
17,Female,6.49,TV,TRUE,0.37,"Poor Sleep, Eye Strain, Obesity Risk",Rural
17,Male,4.61,Laptop,TRUE,0.33,Poor Sleep,Urban
13,Male,4.04,Tablet,TRUE,0.35,None,Urban
8,Male,4.31,TV,TRUE,0.46,Eye Strain,Urban
11,Male,4.55,TV,TRUE,0.43,"Poor Sleep, Eye Strain",Rural
